address,unit_number,price,city,state,zipcode,beds,baths,garage,property_size,lot_size,property_type,broker,date_scraped
1145 S Jackson St,,499900,Denver,CO,80210,2,2,2,1306,6540,Single Family Home,Kentwood City Properties,2017-03-16
1150 Inca St,80,369900,Denver,CO,80204,2,2,1,1051,,Condo/Townhome/Row/H,Realty Solutions,2017-03-16
1155 Ash St,503,165000,Denver,CO,80220,1,1,2,687,,Condo/Townhome/Row/H,"""""BROKERS GUILD CHERRY CREEK LTD""""",2017-03-16
1155 Ash St,301,249500,Denver,CO,80220,2,2,2,1008,,Condo/Townhome/Row/H,MADISON AND COMPANY PROPERTIES,2017-03-16
1155 Ash St,404,199000,Denver,CO,80220,1,1,1,687,,Condo/Townhome/Row/H,MADISON AND COMPANY PROPERTIES,2017-03-16
1155 S York St,,1895000,Denver,CO,80210,6,5,3,5100,6300,Single Family Home,NOSTALGIC HOMES,2017-03-16
1159 Josephine St,,1125000,Denver,CO,80206,3,3,2,3141,4687,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
1161 S Zuni St,,339000,Denver,CO,80223,4,2,3,1610,6270,Single Family Home,Emerald Realty,2017-03-16
1165 N Pennsylvania St,3C,545000,Denver,CO,80203,2,2,2,1835,,Condo/Townhome/Row/H,MB BINGHAM & CO,2017-03-16
1180 Yosemite St,112,80000,Denver,CO,80220,1,1,1,581,,Condo/Townhome/Row/H,Cherry Creek Properties LLC,2017-03-16
1184 S Clarkson St,,1450000,Denver,CO,80210,5,6,3,4987,4567,Single Family Home,Your Castle Real Estate,2017-03-16
119 Krameria St,,2375000,Denver,CO,80220,5,7,3,8433,13068,Single Family Home,RE/MAX Alliance,2017-03-16
119 S Harrison St,105,395000,Denver,CO,80209,1,1,1,845,12632,Condo/Townhome/Row/H,Kentwood Real Estate at Cherry Creek,2017-03-16
119 S Harrison St,110,495000,Denver,CO,80209,2,2,2,1217,12632,Condo/Townhome/Row/H,Kentwood Real Estate at Cherry Creek,2017-03-16
119 S Harrison St,213,655000,Denver,CO,80209,2,2,2,1494,12632,Condo/Townhome/Row/H,Kentwood Real Estate at Cherry Creek,2017-03-16
1196 S Monroe St,,1590000,Denver,CO,80210,4,4,2,5025,6320,Single Family Home,TRELORA,2017-03-16
1200 Acoma St,306,630000,Denver,CO,80204,1,2,1,1397,,Condo/Townhome/Row/H,Urban Realty Llc,2017-03-16
1200 Acoma St,603,1535000,Denver,CO,80204,2,2,2,1932,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
1200 Acoma St,201,925000,Denver,CO,80204,2,3,2,2209,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
1200 N Humboldt St,1002,330000,Denver,CO,80218,1,1,1,735,,Condo/Townhome/Row/H,RE/MAX Alliance,2017-03-16
1200 Newport St,,1275000,Denver,CO,80220,4,4,2,5970,10019,Single Family Home,Coldwell Banker Residential Brokerage - Devonshire,2017-03-16
121 S Hudson St,,1675000,Denver,CO,80246,3,3,2,5700,6625,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
121 S Hudson St,,785000,Denver,CO,80246,,,,6625,,Land,Kentwood Real Estate at Cherry Creek,2017-03-16
12133 Bannock Cir,6C,235000,Denver,CO,80234,3,2.5,1,1705,613,Condo/Townhome/Row/H,Keller Williams 1st Reatly  Inc.,2017-03-16
1219 Madison St,,799000,Denver,CO,80206,3,3,2,2863,5940,Single Family Home,Modus Real Estate,2017-03-16
12243 E Andrews Dr,,445000,Denver,CO,80239,,3,24,4664,8660,Multi-Family,RE/MAX SOUTHEAST INC.,2017-03-16
123 E 3rd Ave,4,220000,Denver,CO,80203,1,1,1,620,,Condo/Townhome/Row/H,LIVE Urban Real Estate,2017-03-16
1231 W 68th Ave,,650000,Denver,CO,80221,5,2,2,2459,43560,Single Family Home,Shorewood Real Estate,2017-03-16
1237 N Lafayette St,,390000,Denver,CO,80218,2,1,1,1147,6181,Condo/Townhome/Row/H,Pallone & Associates,2017-03-16
1239 Tennyson St,6,449000,Denver,CO,80204,2,3,1,1374,,Condo/Townhome/Row/H,Your Castle Real Estate,2017-03-16
124 E Colorado Ave,2,275000,Denver,CO,80210,2,1,,673,,Condo/Townhome/Row/H,Homesmart Realty Group Of Colorado,2017-03-16
124 Niagara St,,1152150,Denver,CO,80220,4,5,2,4928,6380,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
124 Niagara St,,385000,Denver,CO,80220,,,,6380,,Land,Kentwood Real Estate at Cherry Creek,2017-03-16
1240 Saint Paul St,,1020000,Denver,CO,80206,5,4,2,3767,4770,Single Family Home,RE/MAX Alliance,2017-03-16
1244 Xavier St,,479000,Denver,CO,80204,3,3,2,1645,,Condo/Townhome/Row/H,MB SABINA & COMPANY,2017-03-16
1245 S Willow St,,499000,Denver,CO,80247,2,1,3,1134,49658,Single Family Home,HOME REAL ESTATE,2017-03-16
1245 S Willow St,,499000,Denver,CO,80247,,,,,49658,Land,HOME REAL ESTATE,2017-03-16
1245 Utica St,104,410000,Denver,CO,80204,2,3,1,1014,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
1245 Utica St,103,424900,Denver,CO,80204,2,4,2,1196,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
1246 Quitman St,4,429900,Denver,CO,80204,2,4,1,1309,1162,Condo/Townhome/Row/H,BANYAN REAL ESTATE  LLC,2017-03-16
1250 S Monoco Pkwy,85,194000,Denver,CO,80224,2,1,,810,,Condo/Townhome/Row/H,Platinum One,2017-03-16
1260 S University Blvd,,734600,Denver,CO,80210,4,4,3,4123,4690,Single Family Home,RE/MAX Professionals,2017-03-16
1260 Saint Paul St,,899000,Denver,CO,80206,5,4,2,2715,4650,Single Family Home,RE/MAX OF CHERRY CREEK  INC.,2017-03-16
1263 Perry St,,379000,Denver,CO,80204,3,1,2,900,6250,Single Family Home,RE/MAX Alliance - Boulder,2017-03-16
1264 S Logan St,,644000,Denver,CO,80210,4,3,3,2734,3125,Single Family Home,STONEY CREEK PROPERTIES,2017-03-16
1270 Trenton St,,355034,Denver,CO,80220,3,1,4,1598,6500,Single Family Home,KEY Real Estate Group  LLC,2017-03-16
1272 W 40th Ave,,739900,Denver,CO,80211,3,4,2,2367,,Single Family Home,8z Real Estate,2017-03-16
1272 W 40th Ave,,739900,Denver,CO,80211,3,3.5,2,2367,,Condo/Townhome/Row/H,8z Real Estate,2017-03-16
1275 Colorado Blvd,7,205000,Denver,CO,80206,2,2,1,770,,Condo/Townhome/Row/H,PorchLight Real Estate Group,2017-03-16
1280 S Saint Paul St,,1150000,Denver,CO,80210,3,4,3,5050,6250,Single Family Home,LIV Sotheby's International Realty,2017-03-16
1280 Tamarac St,,299990,Denver,CO,80220,3,2,1,1051,6500,Single Family Home,Re/Max Uptown Inc,2017-03-16
1280 W Center Ave,,499900,Denver,CO,80223,3,3,2,2468,6253,Single Family Home,TRELORA,2017-03-16
1295 Clayton St,,599000,Denver,CO,80206,3,2,,2145,2887,Single Family Home,Transwest Investment Brokers,2017-03-16
1296 S Umatilla St,,285000,Denver,CO,80223,3,1,,1015,7450,Single Family Home,Coldwell Banker Residential Brokerage - Denver Cen,2017-03-16
1297 S Bryant St,,359900,Denver,CO,80219,3,2,2,1750,7010,Single Family Home,West Usa Realty of the Rockies,2017-03-16
1299 N Gilpin St,8E,875000,Denver,CO,80218,2,2,2,1950,28750,Condo/Townhome/Row/H,Listings.Com,2017-03-16
1304 Ivy St,,625000,Denver,CO,80220,4,3,2,2962,5750,Single Family Home,Your Castle Realty,2017-03-16
1305 Holly St,,470000,Denver,CO,80220,4,2,1,1728,8412,Single Family Home,Coldwell Banker Residential Brokerage - Devonshire,2017-03-16
1311 Bellaire St,,529000,Denver,CO,80220,3,1,1,1658,5590,Single Family Home,RE/MAX OF CHERRY CREEK  INC.,2017-03-16
1321 Tamarac St,,315000,Denver,CO,80220,3,2,3,1596,3983,Single Family Home,PorchLight Real Estate Group,2017-03-16
1323 Elati St,6,624000,Denver,CO,80204,3,4,2,1775,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
1323 Elati St,1,648000,Denver,CO,80204,3,4,2,1775,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
1325 S Winona Ct,,260000,Denver,CO,80219,3,1,1,928,7440,Single Family Home,RE/MAX SOUTHEAST INC.,2017-03-16
1333 Elati St,3,597000,Denver,CO,80204,3,4,2,1739,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
1333 Elati St,5,597000,Denver,CO,80204,3,4,2,1739,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
134 S Monroe St,,799900,Denver,CO,80209,3,4,2,3471,,Condo/Townhome/Row/H,Kentwood Real Estate at Cherry Creek,2017-03-16
1344 S Vallejo St,,310000,Denver,CO,80223,2,2,2,1654,6070,Single Family Home,Inmotion Group Properties,2017-03-16
1345 W 67th Pl,,557741,Denver,CO,80221,3,3,2,3472,4010,Single Family Home,Coldwell Banker Residential Brokerage - Southeast ,2017-03-16
1350 Josephine St,303,149900,Denver,CO,80206,1,1,,434,27007,Condo/Townhome/Row/H,Colorado Agent Solutions,2017-03-16
1350 Lawrence St,9C,420000,Denver,CO,80204,1,1,1,901,,Condo/Townhome/Row/H,Mb House To Home Inc,2017-03-16
